PLACE	DATE	TIME	DURATION	CATEGORY	CTITLE	ETITLE	GRADE	REMARK	PAGE
臺北文創大樓6 樓多功能廳	2014/10/18	14:00	180	千人誓師	千人誓師			◎	3
喜滿客京華影城 8 廳	2014/11/06	19:00	110	開幕片	極光之愛	Endless Nights In Aurora	護 P	★	45
喜滿客京華影城 4 廳	2014/11/07	19:10	105	亞洲之窗	三城戀習曲	Sway	護 P		161
喜滿客京華影城 4 廳	2014/11/07	21:30	112	影壇新世代	少女最搖擺	Girlhood	護 P		144
喜滿客京華影城 5 廳	2014/11/07	16:50	93	傳奇人生	追憶費里尼	How Strange To Be Named Federico: Scola Narrates Fellini	普 G		205
喜滿客京華影城 5 廳	2014/11/07	19:00	88	台灣製造	台灣短打 1 - 七點半的太空人 + 溺境 + 影子 + 屍憶	Taiwan Shorts 1 - First Launch +  Under The Water + Shadow + The Bride	護 P	★	92,93
喜滿客京華影城 5 廳	2014/11/07	21:30	112	影壇新世代	少女最搖擺	Girlhood	護 P		144
喜滿客京華影城 8 廳	2014/11/07	19:00	96	影壇新世代	我媽媽是派對女孩	Party Girl	輔 PG	★	143
喜滿客京華影城 8 廳	2014/11/07	21:40	90	傳奇人生	關於 Pulp 的日常搖滾	Plup: A Film About Life, Death & Supermarkets	普 G		201
新光影城 1 廳	2014/11/07	15:00	102	影迷嘉年華	相愛的停損點	If You Don't, I Will	輔 PG		131
新光影城 1 廳	2014/11/07	17:20	90	傳奇人生	曠世奇片之死	Jodorwsky's Dune	輔 PG		204
新光影城 1 廳	2014/11/07	19:30	56	大師饗宴	西遊	Journey To The West	護 P	★	110
新光影城 1 廳	2014/11/07	21:30	98	不設防地帶	暴力小姐	Miss Violence	限 R		169
新光影城 2 廳	2014/11/07	13:30	105	作者相對論	誘惑與背叛	An Eye For Beauty	限 R		115
新光影城 2 廳	2014/11/07	15:50	166	大師饗宴	年少時代	Boyhood	護 P		99
新光影城 2 廳	2014/11/07	19:20	95	影迷嘉年華	冰島嬉遊記	Land Ho!	輔 PG		127
新光影城 2 廳	2014/11/07	21:30	125	作者相對論	紐約性愛大亨	Welcome To New York	限 R		116
喜滿客京華影城 4 廳	2014/11/08	13:40	91	影迷嘉年華	女孩佔友慾	Breathe	護 P		132
喜滿客京華影城 4 廳	2014/11/08	16:00	130	不設防地帶	過於寂靜的喧囂	The Tribe	限 R		174
喜滿客京華影城 4 廳	2014/11/08	18:50	125	作者相對論	紐約性愛大亨	Welcome To New York	限 R		116
喜滿客京華影城 4 廳	2014/11/08	21:30	0	金馬獎入圍影片	勝利	Uncle Victory	護 P		64
喜滿客京華影城 5 廳	2014/11/08	11:30	81	動畫王國	麥兜‧我和我媽媽	McDull: Me & My Mom	普 G		197
喜滿客京華影城 5 廳	2014/11/08	13:30	96	影壇新世代	我媽媽是派對女孩	Party Girl	輔 PG	★	143
喜滿客京華影城 5 廳	2014/11/08	16:10	70	大師饗宴	3×3D	3×3D	護 P		104
喜滿客京華影城 5 廳	2014/11/08	18:00	94	台灣製造	台灣短打 2 - 跳下去，活下來 + 春風 + 不即不離	Taiwan Shorts 2 - Jump Off Or Live On + Spring Breeze + Absent Without Leave	護 P	★	94,95
喜滿客京華影城 5 廳	2014/11/08	20:40	119	亞洲之窗	寧靜咖啡館之歌	The Furthest End Awaits	護 P	★	153
喜滿客京華影城 8 廳	2014/11/08	11:50	89	影迷嘉年華	因為愛情：在她消失以後	The Disapperance Of Eleanor Rigby: Him	護 P		124
喜滿客京華影城 8 廳	2014/11/08	14:00	100	影迷嘉年華	因為愛情：在離開他以後	The Disapperance Of Eleanor Rigby: Her	護 P		125
喜滿客京華影城 8 廳	2014/11/08	16:20	112	大師饗宴	寂寞星圖	Maps To The Stars	輔 PG		106
喜滿客京華影城 8 廳	2014/11/08	19:00	124	大師饗宴	星光雲寂	Clouds Of Sils Maria	輔 PG		101
喜滿客京華影城 8 廳	2014/11/08	21:40	70	大師饗宴	告別語言	Goodbye To Language 3D	輔 PG		105
新光影城 1 廳	2014/11/08	11:30	119	性別越界	屋簷下的她	A Girl At My Door	輔 PG		182
新光影城 1 廳	2014/11/08	14:10	110	影壇新世代	蜂蜜之夏	The Wonders	普 G		142
新光影城 1 廳	2014/11/08	16:40	127	亞洲之窗	蒼白之月	Pale Moon	輔 PG		154
新光影城 1 廳	2014/11/08	19:30	95	性別越界	愛情的模樣	The Way He Looks	輔 PG		178
新光影城 1 廳	2014/11/08	22:10	86	午夜特快車	吸血鬼家庭屍篇	What We Do In The Shadows	輔 PG		189
新光影城 2 廳	2014/11/08	11:20	113	亞洲之窗	寶萊塢之爆裂女警官	Fearless	輔 PG		163
新光影城 2 廳	2014/11/08	14:00	108	大師饗宴	酣歌暢愛	Life Of Riley	護 P		102
新光影城 2 廳	2014/11/08	15:50	60	影像長河	雷奈 影片導讀			◎	8
新光影城 2 廳	2014/11/08	17:30	145	午夜特快車	性愛成癮的女人導演加長版 (上)	Nymphomaniac Volume I (Long Version)	限 R		185
新光影城 2 廳	2014/11/08	20:40	180	午夜特快車	性愛成癮的女人導演加長版 (下)	Nymphomaniac Volume II (Long Version)	限 R		185
